activeFranchise,gameTypeId,lastSeasonId,id,firstSeasonId,franchiseId,gamesPlayed,goalsAgainst,goalsFor,homeLosses,homeOvertimeLosses,homeTies,homeWins,losses,overtimeLosses,penaltyMinutes,pointPctg,points,roadLosses,roadOvertimeLosses,roadTies,roadWins,shootoutLosses,shootoutWins,shutouts,teamId,teamName.x,ties,abbreviation.x,wins,name,abbreviation.y,teamName.y,venue.name,venue.city,division.id,division.name,conference.id,conference.name,perc.total.games.win,perc.total.games.loss,perc.home.win,perc.home.loss,perc.road.win,perc.road.loss
1,2,NA,32,19261927,11,6560,19687,19537,1128,86,410,1655,2761,173,92285,0.5039,6611,1633,87,404,1157,70,75,439,16,Chicago Blackhawks,814,CHI,2812,Chicago Blackhawks,CHI,Blackhawks,United Center,Chicago,26,Discover Central,5,Western,42.87,42.09,50.47,34.4,35.26,49.77
1,2,NA,32,19261927,11,6560,19687,19537,1128,86,410,1655,2761,173,92285,0.5039,6611,1633,87,404,1157,70,75,439,16,Chicago Blackhawks,814,CHI,2812,Chicago Blackhawks,CHI,Blackhawks,United Center,Chicago,26,Discover Central,5,Western,42.87,42.09,50.47,34.4,35.26,49.77
1,2,NA,33,19321933,12,6293,18881,19550,940,99,368,1741,2446,183,84403,0.5354,6738,1506,84,405,1150,76,71,423,17,Detroit Red Wings,773,DET,2891,Detroit Red Wings,DET,Red Wings,Little Caesars Arena,Detroit,26,Discover Central,6,Eastern,45.94,38.87,55.3,29.86,36.57,47.89
1,2,NA,33,19321933,12,6293,18881,19550,940,99,368,1741,2446,183,84403,0.5354,6738,1506,84,405,1150,76,71,423,17,Detroit Red Wings,773,DET,2891,Detroit Red Wings,DET,Red Wings,Little Caesars Arena,Detroit,26,Discover Central,6,Eastern,45.94,38.87,55.3,29.86,36.57,47.89
1,2,NA,35,19981999,34,1731,4708,4730,282,73,34,477,656,163,19933,0.5566,1927,374,90,26,375,70,74,134,18,Nashville Predators,60,NSH,852,Nashville Predators,NSH,Predators,Bridgestone Arena,Nashville,26,Discover Central,5,Western,49.22,37.9,55.08,32.56,43.35,43.24
1,2,NA,35,19981999,34,1731,4708,4730,282,73,34,477,656,163,19933,0.5566,1927,374,90,26,375,70,74,134,18,Nashville Predators,60,NSH,852,Nashville Predators,NSH,Predators,Bridgestone Arena,Nashville,26,Discover Central,5,Western,49.22,37.9,55.08,32.56,43.35,43.24
1,2,NA,37,19671968,18,4173,12688,12827,674,72,218,1122,1645,167,65608,0.534,4457,971,95,214,807,69,74,252,19,St. Louis Blues,432,STL,1929,St. Louis Blues,STL,Blues,Enterprise Center,St. Louis,27,Honda West,5,Western,46.23,39.42,53.79,32.31,38.67,46.53
1,2,NA,37,19671968,18,4173,12688,12827,674,72,218,1122,1645,167,65608,0.534,4457,971,95,214,807,69,74,252,19,St. Louis Blues,432,STL,1929,St. Louis Blues,STL,Blues,Enterprise Center,St. Louis,27,Honda West,5,Western,46.23,39.42,53.79,32.31,38.67,46.53
1,2,NA,40,19801981,21,3154,9821,10257,508,69,135,863,1236,150,55423,0.5414,3415,728,81,136,634,65,52,144,20,Calgary Flames,271,CGY,1497,Calgary Flames,CGY,Flames,Scotiabank Saddledome,Calgary,28,Scotia North,5,Western,47.46,39.19,54.79,32.25,40.15,46.11
1,2,NA,40,19801981,21,3154,9821,10257,508,69,135,863,1236,150,55423,0.5414,3415,728,81,136,634,65,52,144,20,Calgary Flames,271,CGY,1497,Calgary Flames,CGY,Flames,Scotiabank Saddledome,Calgary,28,Scotia North,5,Western,47.46,39.19,54.79,32.25,40.15,46.11
